input,target
Remove from node 'node-1' the taint with key 'hardware' and effect 'NoExecute' if one exists,kubectl taint nodes node-1 hardware:NoExecute-
Import specific keys from a config map,kubectl set env --keys=DATABASE_URL --from=configmap/kube-system-config deployment/search-engine-deployment
Remove from node 'db-node-7' the taint with key 'app' and effect 'PreferNoSchedule' if one exists,kubectl taint nodes db-node-7 app:PreferNoSchedule-
Create a copy of e-commerce-pod changing all container images to busybox,kubectl debug e-commerce-pod --copy-to=debug-image-web --set-image=*=busybox
Get output from running the 'elasticsearch' command in mycontainer from pod analytics-pod,kubectl exec analytics-pod -c mycontainer -- elasticsearch
Get output from running the 'mysqld' command in lunar-launcher from pod monitoring-pod,kubectl exec monitoring-pod -c lunar-launcher -- mysqld
Set the resource request and limits for all containers in python,"kubectl set resources deployment python --limits=cpu=200m,memory=512Mi --requests=cpu=3,memory=4Gi"
Get output from running the 'nginx' command in quantum-quark from pod email-service-pod,kubectl exec email-service-pod -c quantum-quark -- nginx
Delete the context for the app-1-context cluster,kubectl config delete-context app-1-context
Set the cluster field in the my-context context to app-cluster,kubectl config set contexts.staging-context.cluster app-cluster
Switch to raw terminal mode; sends stdin to 'bash' in rocket-ranger from pod payment-gateway-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach payment-gateway-pod -c rocket-ranger -i -t
"Listen on ports 8888 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/log-aggregator-pod 8888 3000
Return snapshot of previous terminated code-explorer container logs from pod proxy-service-pod,kubectl logs -p -c code-explorer proxy-service-pod
Get output from cosmic-container from pod security-service-pod,kubectl attach security-service-pod -c cosmic-container
Deny CSR 'csr-kubelet-14',kubectl certificate deny csr-kubelet-14
Create a new config map named app-secrets with specified keys instead of file basenames on disk,kubectl create configmap app-secrets --from-file=properties=/path/to/preferences/file1.txt --from-file=key1=/path/to/properties/file2.txt
Switch to raw terminal mode; sends stdin to 'bash' in nebula-navigator from pod mypod # and sends stdout/stderr from 'bash' back to the client,kubectl attach mypod -c nebula-navigator -i -t
Return snapshot logs from container gateway-deployment-1 of a deployment named proxy-server-pod,kubectl logs deployment/gateway-deployment -c proxy-server-pod-1
Get output from running the 'dotnet' command in cosmic-container from pod media-stream-pod,kubectl exec media-stream-pod -c cosmic-container -- dotnet
Set the cluster field in the my-context context to galaxy-cluster,kubectl config set contexts.prod-context.cluster galaxy-cluster
"Listen on port 6379 on all addresses, forwarding to 9090 in the pod",kubectl port-forward --address 0.0.0.0 pod/api-service-pod 6379:9090
"Wait for the pod ""cdn-service-pod"" to be deleted, with a timeout of 60s, after having issued the ""delete"" command","kubectl delete pod/cdn-service-pod
kubectl wait --for=delete pod/busybox1 --timeout=60s"
Start a confluentinc/cp-kafka pod and let the container expose port 8010,kubectl run hazelcast --image=confluentinc/cp-kafka --port=8010
"Listen on port 8000 locally, forwarding to 8081 in the pod",kubectl port-forward pod/security-service-pod 8000:8081
Begin streaming the logs of the mycontainer container in pod backend-pod,kubectl logs -f -c mycontainer backend-pod
Set custom TLS server name to use for validation for the kube-cluster-1 cluster entry,kubectl config set-cluster kube-cluster-1 --tls-server-name=cloud-cluster
"Listen on port 8088 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/frontend-pod 8088:8088
Get output from running the 'mysql' command in time-machine from pod web-app-pod,kubectl exec web-app-pod -c time-machine -- mysql
"Listen on port 8088 locally, forwarding to 9090 in the pod",kubectl port-forward pod/frontend-pod 8088:9090
Use an alternative editor,"KUBE_EDITOR=""vim"" kubectl edit svc/scheduler-service"
Roll back to the previous deployment with dry-run,kubectl rollout undo --dry-run=server deployment/staging
"Listen on port 5000 on all addresses, forwarding to 8080 in the pod",kubectl port-forward --address 0.0.0.0 pod/api-service-pod 5000:8080
Create a copy of proxy-service-pod changing all container images to php,kubectl debug proxy-service-pod --copy-to=debug-image-memcached --set-image=*=php
Create a new config map named global-config with specified keys instead of file basenames on disk,kubectl create configmap global-config --from-file=settings=/path/to/settings/file1.txt --from-file=key2=/path/to/configurations/file2.txt
Embed certificate authority data for the web-cluster cluster entry,kubectl config set-cluster web-cluster --embed-certs --certificate-authority=~/.kube/prod-cluster/kubernetes.ca.crt
Use an alternative editor,"KUBE_EDITOR=""atom"" kubectl edit svc/logging-service"
Get output from nebula-navigator from pod payment-gateway-pod,kubectl attach payment-gateway-pod -c nebula-navigator
Set the cluster field in the my-context context to cluster-beta,kubectl config set contexts.staging-context.cluster cluster-beta
Embed certificate authority data for the staging-cluster cluster entry,kubectl config set-cluster staging-cluster --embed-certs --certificate-authority=~/.kube/sun-cluster/kubernetes.ca.crt
Import environment from a secret,kubectl set env --from=secret/ssh-key-secret deployment/scheduler-app-deployment
"Create a service for a replicated php using replica set, which serves on port 80 and connects to the containers on port 8000",kubectl expose rs php --port=8443 --target-port=888800
Set deployment user-management-deployment's service account to jenkins,kubectl set serviceaccount deployment user-management-deployment jenkins
Get output from running the 'dotnet --list-runtimes' command in warp-drive from pod web-app-pod,kubectl exec web-app-pod -c warp-drive -- dotnet --list-runtimes
"Auto scale a deployment ""log-aggregator"", with the number of pods between 2 and 8, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment log-aggregator --min=2 --max=8
"Listen on port 8000 on all addresses, forwarding to 5000 in the pod",kubectl port-forward --address 0.0.0.0 pod/backend-pod 8000:5000
"Listen on port 3000 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/web-service 3000:https
Start a postgres pod and let the container expose port 8082,kubectl run hazelcast --image=postgres --port=8082
Get output from running the 'redis-server' command in mycontainer from pod proxy-service-pod,kubectl exec proxy-service-pod -c mycontainer -- redis-server
Import specific keys from a config map,kubectl set env --keys=API_KEY --from=configmap/monitoring-config deployment/user-management-deployment
Set deployment database-deployment's service account to metrics-server,kubectl set serviceaccount deployment database-deployment metrics-server
Set deployment search-engine-deployment's service account to dashboard,kubectl set serviceaccount deployment search-engine-deployment dashboard
"Delete pods and services with same names ""api"" and ""chat-app""","kubectl delete pod,service api chat-app"
Create a deployment named worker that runs the php image and expose port 8888,kubectl create deployment worker --image=php --port=8888
"Update a role binding for developer3, k8s-admin, and qa-engineers",kubectl set subject rolebinding admin --user=developer3 --user=k8s-admin --group=qa-engineers
Start a postgres pod and let the container expose port 9092,kubectl run hazelcast --image=postgres --port=9092
Create a copy of auth-service-pod changing all container images to ruby,kubectl debug auth-service-pod --copy-to=debug-image-api --set-image=*=ruby
Create a job with a command,kubectl create job security-scan-job --image=python -- pip --version
Embed certificate authority data for the star-cluster cluster entry,kubectl config set-cluster star-cluster --embed-certs --certificate-authority=~/.kube/galaxy-cluster/kubernetes.ca.crt
Get output from running the 'irb' command in stardust-shuttle from pod mypod,kubectl exec mypod -c stardust-shuttle -- irb
Start a hazelcast pod and let the container expose port 8089,kubectl run hazelcast --image=hazelcast/hazelcast --port=8089
Begin streaming the logs of the code-explorer container in pod log-aggregator-pod,kubectl logs -f -c code-explorer log-aggregator-pod
Copy /tmp/foo_dir from a remote pod to :/tmp/bar locally,kubectl exec -n kube-flannel web-app-pod-1 -- tar cf - /tmp/foo_dir | tar xf - -C :/tmp/bar
"List deployments in YAML output format, in the ""beta-1.0"" version of the ""legacy-apps"" API group",kubectl get deployments.beta-1.0.legacy-apps -o yaml
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/analytics-pod 8000 3000
"Listen on a random port locally, forwarding to 9090 in the pod",kubectl port-forward pod/proxy-server-pod :9090
Import specific keys from a config map,kubectl set env --keys=DATABASE_URL --from=configmap/kube-system-config deployment/proxy-service-deployment
Show metrics for the pods defined by label region=eu-west-2,kubectl top pod -l region=eu-west-2
"Listen on port 5000 on localhost and selected IP, forwarding to 8888 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/mypod 5000:8888"
"List deployments in JSON output format, in the ""custom-version"" version of the ""api-v2"" API group",kubectl get deployments.custom-version.api-v2 -o json
"Get output from running the 'irb' command from pod database-pod, using the first container by default",kubectl exec database-pod -- irb
Display only the most recent 20 lines of output in pod auth-service-pod,kubectl logs --tail=20 auth-service-pod
Set deployment api-server-deployment's service account to spinnaker,kubectl set serviceaccount deployment api-server-deployment spinnaker
Set deployment gateway-deployment's service account to fluentd,kubectl set serviceaccount deployment gateway-deployment fluentd
Add a taint with key 'app' on nodes having label myLabel,kubectl taint node -l myLabel  app=gpu-node-12:PreferNoSchedule
Set custom TLS server name to use for validation for the moon-cluster cluster entry,kubectl config set-cluster moon-cluster --tls-server-name=cluster-alpha
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node prod-node-5 -p '{""spec"":{""rules"":[{""http"":{""paths"":[{""path"":""/"",""backend"":{""service"": {""name"": ""new-service""}}}]}}'"
Set custom TLS server name to use for validation for the data-cluster cluster entry,kubectl config set-cluster data-cluster --tls-server-name=prod-cluster
"Listen on port 8888 on all addresses, forwarding to 8080 in the pod",kubectl port-forward --address 0.0.0.0 pod/cdn-service-pod 8888:8080
"Listen on port 9090 locally, forwarding to 5432 in the pod",kubectl port-forward pod/backend-pod 9090:5432
Create a new secret named ssh-key-secret with keys for each file in folder bar,kubectl create secret generic ssh-key-secret --from-file=path/to/properties
"Create a service for a replication controller identified by type and name specified in ""ubuntu-controller.yaml"", which serves on port 80 and connects to the containers on port 8000",kubectl expose -f ubuntu-controller.yaml --port=5000 --target-port=500000
Begin streaming the logs from all containers in pods defined by label team=devops,kubectl logs -f -l team=devops --all-containers=true
"Create a service for a replicated wordpress, which serves on port 80 and connects to the containers on port 8000",kubectl expose rc wordpress --port=8084 --target-port=300000
Create a new secret named password-secret with keys for each file in folder bar,kubectl create secret generic password-secret --from-file=path/to/settings
"Delete pods and services with same names ""cdn"" and ""database""","kubectl delete pod,service cdn database"
Replace a pod using the data in config.json,kubectl replace -f ./config.json
Import specific keys from a config map,kubectl set env --keys=LOG_LEVEL --from=configmap/app-name-config deployment/backend-microservice-deployment
"Listen on port 8000 on all addresses, forwarding to 5000 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8000:5000
Get output from running the 'postgres' command in mycontainer from pod api-service-pod,kubectl exec api-service-pod -c mycontainer -- postgres
Create a job with a command,kubectl create job data-migration-job --image=alpine -- apk add curl
Set the cluster field in the my-context context to cluster-alpha,kubectl config set contexts.testing-context.cluster cluster-alpha
"Delete pods and services with same names ""proxy"" and ""monitoring""","kubectl delete pod,service proxy monitoring"
"Get output from running the 'redis-cli' command from pod mypod, using the first container by default",kubectl exec mypod -- redis-cli
"Create a service for a pod analytics-pod, which serves on port 444 with the name ""frontend""",kubectl expose pod analytics-pod --port=8000 --name=frontend
"Remove the ""client-secret"" config value for the OpenID Connect auth provider for the ""admin"" entry",kubectl config set-credentials admin --auth-provider=oidc --auth-provider-arg=client-secret-
Switch to raw terminal mode; sends stdin to 'bash' in warp-drive from pod backend-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach backend-pod -c warp-drive -i -t
Update deployment 'notification-handler-deployment' with a new environment variable,kubectl set env deployment/notification-handler-deployment DB_PASSWORD=secretpassword
"Listen on port 6379 locally, forwarding to 8080 in the pod",kubectl port-forward pod/backend-pod 6379:8080
"If the deployment named web's current size is 7, scale mysql to 5",kubectl scale --current-replicas=7 --replicas=5 deployment/web
Copy :/tmp/foo from a remote pod to /etc/kubernetes locally,kubectl cp ingress-nginx/load-balancer-pod-9::/tmp/foo /etc/kubernetes
"Set a deployments nginx container cpu limits to ""500m"" and memory to ""128Mi""","kubectl set resources deployment nginx -c=nginx --limits=cpu=500m,memory=128Mi"
Create a job with a command,kubectl create job monitoring-job --image=node -- node --version
List one or more resources by their type and names,kubectl get rc/web service/proxy-server-rc pods/gateway-pod
Create a deployment named cache that runs the ethereum/client-go image and expose port 8443,kubectl create deployment cache --image=ethereum/client-go --port=8443
Import specific keys from a config map,kubectl set env --keys=database_url --from=configmap/db-config deployment/cache-cluster-deployment
List a single pod in YAML output format,kubectl get -o yaml pod payment-gateway-pod
"Listen on port 8081 on all addresses, forwarding to 8000 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 8081:8000
Rename the context 'cluster-2-context' to 'app-2-context' in your kubeconfig file,kubectl config rename-context cluster-2-context app-2-context
Create a new NodePort service named auth-service-nodeport,kubectl create service nodeport auth-service-nodeport --tcp=8089:6379
"Update pod 'monitoring' with the annotation 'SLA' and the value '99.9% uptime' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods monitoring SLA='99.9% uptime'
"Listen on port 9090 locally, forwarding to 8081 in the pod",kubectl port-forward pod/analytics-pod 9090:8081
Return only the phase value of the specified pod,kubectl get -o template pod/vpn-service-pod --template={{.status.phase}}
"Set a deployments node container cpu limits to ""1"" and memory to ""512Mi""","kubectl set resources deployment node -c=nginx --limits=cpu=1,memory=512Mi"
"Check to see if I can get the job named ""virus-scan-job"" in namespace ""kube-dns""",kubectl auth can-i list jobs.batch/virus-scan-job -n kube-dns
Embed certificate authority data for the cloud-cluster cluster entry,kubectl config set-cluster cloud-cluster --embed-certs --certificate-authority=~/.kube/on-prem-cluster/kubernetes.ca.crt
"Listen on port 8088 locally, forwarding to 5000 in the pod",kubectl port-forward pod/frontend-pod 8088:5000
Set custom TLS server name to use for validation for the data-cluster cluster entry,kubectl config set-cluster data-cluster --tls-server-name=e2e
"Listen on a random port locally, forwarding to 8081 in the pod",kubectl port-forward pod/chat-app-pod :8081
"Update a pod identified by type and name in ""config.json""",kubectl annotate -f config.json app-version=2.5.1
Begin streaming the logs of the ruby container in pod media-stream-pod,kubectl logs -f -c ruby media-stream-pod
Create a new ExternalName service named external-third-party-api-service,kubectl create service externalname external-third-party-api-service --external-name demo-service.dev
Unset namespace in prod-context context,kubectl config unset contexts.prod-context.namespace
"Check to see if I can get the job named ""cron-job"" in namespace ""namespace-1""",kubectl auth can-i list jobs.batch/cron-job -n namespace-1
Create a new config map named app-config with specified keys instead of file basenames on disk,kubectl create configmap app-config --from-file=conf=/path/to/data/file1.txt --from-file=data=/path/to/profiles/file2.txt
Get output from running the 'composer --version' command in cosmic-container from pod auth-service-pod,kubectl exec auth-service-pod -c cosmic-container -- composer --version
Start a confluentinc/cp-kafka pod,kubectl run nginx --image=confluentinc/cp-kafka
Set the certificate-authority-data field on the cluster-alpha cluster,"kubectl config set clusters.cluster-alpha.certificate-authority-data $(echo ""cert_data_here"" | base64 -i -)"
Import specific keys from a config map,kubectl set env --keys=my-example-key --from=configmap/namespace-config deployment/cache-cluster-deployment
Get output from rocket-ranger from pod backend-pod,kubectl attach backend-pod -c rocket-ranger
"Create a cluster role name ""foo"" with NonResourceURL specified","kubectl create clusterrole ""foo"" --verb=create --non-resource-url=/metrics"
"Listen on port 5432 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/backend-service 5432:https
"Listen on port 8088 locally, forwarding to 3000 in the pod",kubectl port-forward pod/log-aggregator-pod 8088:3000
Create an ingress with multiple hosts and the pathType as Prefix,"kubectl create ingress ingress1 --class=default \
--rule=""website.com/path*=svc:8084"" \
--rule=""bar.com/admin*=svc2:http"""
List one or more resources by their type and names,kubectl get rc/web service/cdn-service-rc pods/frontend-pod
Rename the context 'staging-context' to 'edge-context' in your kubeconfig file,kubectl config rename-context staging-context edge-context
"Update pod 'gateway' with the annotation 'monitoring-tool' and the value 'Prometheus' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods gateway monitoring-tool=Prometheus
Import specific keys from a config map,kubectl set env --keys=database_url --from=configmap/env-vars deployment/user-management-deployment
Replace a pod using the data in params.json,kubectl replace -f ./params.json
List one or more resources by their type and names,kubectl get rc/web service/analytics-rc pods/web-app-pod
Set the cluster field in the my-context context to galaxy-cluster,kubectl config set contexts.client-2-context.cluster galaxy-cluster
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 5000 and 6000 in the pod",kubectl port-forward pod/frontend-pod 5432 5000
Get output from running the 'geth version' command in quantum-quark from pod database-pod,kubectl exec database-pod -c quantum-quark -- geth version
"Listen on port 8081 on all addresses, forwarding to 8888 in the pod",kubectl port-forward --address 0.0.0.0 pod/backend-pod 8081:8888
Start a postgres pod and let the container expose port 6379,kubectl run hazelcast --image=postgres --port=6379
Create a copy of security-service-pod adding a debug container and changing container images,"kubectl debug security-service-pod -it --copy-to=debug-image-memcached --image=debian --set-image=cache=redis:alpine,api=api:v2"
Import specific keys from a config map,kubectl set env --keys=debug_mode --from=configmap/kube-system-config deployment/web-app-deployment
Import specific keys from a config map,kubectl set env --keys=DEBUG_MODE --from=configmap/app-config-dev deployment/payment-processor-deployment
View the last-applied-configuration annotations by type/name in YAML,kubectl apply view-last-applied deployment/ruby
"Create a service for a replicated node using replica set, which serves on port 80 and connects to the containers on port 8000",kubectl expose rs node --port=3001 --target-port=844300
Get output from time-machine from pod backend-pod,kubectl attach backend-pod -c time-machine
"Update a pod identified by type and name in ""config.json""",kubectl annotate -f config.json security-scan-status=pass
Update image of all containers of daemonset staging to 'alpine:3.14',kubectl set image daemonset staging *=alpine:3.14
"Create a service for a replicated ubuntu using replica set, which serves on port 80 and connects to the containers on port 8000",kubectl expose rs ubuntu --port=9000 --target-port=500100
Set deployment proxy-service-deployment's service account to elasticsearch,kubectl set serviceaccount deployment proxy-service-deployment elasticsearch
"Auto scale a replication controller ""media-stream"", with the number of pods between 1 and 2, target CPU utilization at 90%",kubectl autoscale rc media-stream --max=2 --cpu-percent=90
Remove from node 'node-1' all the taints with key 'environment',kubectl taint nodes node-1 environment-
View the details of daemonset revision 5,kubectl rollout history daemonset/services --revision=5
Update pod 'analytics' with the label 'release' and the value 'v2.0',kubectl label pods analytics release=v2.0
List one or more resources by their type and names,kubectl get rc/web service/database-rc pods/security-service-pod
Set the user field on the service-account-context context entry without touching other values,kubectl config set-context service-account-context --user=cluster-admin
"Listen on port 8080 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8080:6379
Set the cluster field in the my-context context to cluster-gamma,kubectl config set contexts.user-b-context.cluster cluster-gamma
Set the cluster field in the my-context context to sun-cluster,kubectl config set contexts.team-beta-context.cluster sun-cluster
Create a job with a command,kubectl create job certificate-renewal --image=golang -- go
Create a deployment named web that runs the php image with 5 replicas,kubectl create deployment web --image=php --replicas=5
Add a taint with key 'workload' on nodes having label customer=acme-corp,kubectl taint node -l customer=acme-corp  workload=worker-node-3:PreferNoSchedule
"Listen on ports 9090 and 6000 locally, forwarding data to/from ports 8888 and 6000 in the pod",kubectl port-forward pod/chat-app-pod 9090 8888
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node worker-node-3 -p $'spec:\n unschedulable: true'
Return snapshot logs from container gateway-deployment-1 of a deployment named media-stream-pod,kubectl logs deployment/gateway-deployment -c media-stream-pod-1
Add a taint with key 'app' on nodes having label myLabel,kubectl taint node -l myLabel  app=worker-node-3:PreferNoSchedule
"Update a pod identified by type and name in ""preferences.json""",kubectl annotate -f preferences.json team='frontend team'
Create a new secret named git-credentials-secret with keys for each file in folder bar,kubectl create secret generic git-credentials-secret --from-file=path/to/profiles
"Listen on port 8081 on all addresses, forwarding to 8081 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8081:8081
"Listen on port 9090 locally, forwarding to 5432 in the pod",kubectl port-forward pod/cdn-service-pod 9090:5432
Return snapshot of previous terminated stardust-shuttle container logs from pod api-service-pod,kubectl logs -p -c stardust-shuttle api-service-pod
Update a cluster role binding for kube-proxy,kubectl set subject clusterrolebinding admin --serviceaccount=namespace:kube-proxy
"Listen on ports 8081 and 6000 locally, forwarding data to/from ports 8081 and 6000 in the pod",kubectl port-forward pod/mypod 8081 8081
"Update pod 'chat-app' with the annotation 'description' and the value 'Web server for marketing site' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods chat-app description='Web server for marketing site'
Create a deployment named jenkins-x that runs the php image with 6 replicas,kubectl create deployment jenkins-x --image=php --replicas=6
Update pod 'foo' with the label 'tier' and the value 'frontend',kubectl label pods foo tier=frontend
Rename the context 'testing-context' to 'admin-context' in your kubeconfig file,kubectl config rename-context testing-context admin-context
Create a new ClusterIP service named billing-service-clusterip,kubectl create service clusterip billing-service-clusterip --tcp=9090:9090
"List deployments in JSON output format, in the ""custom-version"" version of the ""mobile-apps"" API group",kubectl get deployments.custom-version.mobile-apps -o json
Create a new secret named oauth-secret with keys for each file in folder bar,kubectl create secret generic oauth-secret --from-file=path/to/properties
"Listen on ports 3000 and 6000 locally, forwarding data to/from ports 5432 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/analytics-platform-deployment 3000 5432
"Listen on port 6379 on all addresses, forwarding to 8080 in the pod",kubectl port-forward --address 0.0.0.0 pod/api-service-pod 6379:8080
"Check to see if I can get the job named ""load-testing-job"" in namespace ""default""",kubectl auth can-i list jobs.batch/load-testing-job -n default
Start a python pod and let the container expose port 8443,kubectl run hazelcast --image=python --port=8443
Return snapshot of previous terminated time-machine container logs from pod database-pod,kubectl logs -p -c time-machine database-pod
"List deployments in JSON output format, in the ""v2.0.0"" version of the ""third-party-apps"" API group",kubectl get deployments.v2.0.0.third-party-apps -o json
Display only the most recent 43 lines of output in pod e-commerce-pod,kubectl logs --tail=43 e-commerce-pod
"Create a service for an ruby deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment ruby --port=9000 --target-port=808800
"Update pod 'backend' with the annotation 'backup-strategy' and the value 'daily backups' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods backend backup-strategy='daily backups'
Add a taint with key 'app' on nodes having label release=beta,kubectl taint node -l release=beta  app=db-node-7:PreferNoSchedule
"Listen on port 8888 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8888:8088
Create a new secret named app-config-secret from an env file,kubectl create secret generic app-config-secret --from-env-file=path/to/settings.env
Edit the last-applied-configuration annotations by type/name in YAML,kubectl apply edit-last-applied deployment/redis
Check the rollout status of a daemonset,kubectl rollout status daemonset/namespace-2
Edit the job 'data-migration-job' in JSON using the v1 API format,kubectl edit job.v1.batch/data-migration-job -o json
Create a new config map named ui-config with specified keys instead of file basenames on disk,kubectl create configmap ui-config --from-file=settings=/path/to/settings/file1.txt --from-file=key2=/path/to/options/file2.txt
"Check to see if I can get the job named ""log-rotation-job"" in namespace ""namespace-1""",kubectl auth can-i list jobs.batch/log-rotation-job -n namespace-1
"Auto scale a deployment ""web"", with the number of pods between 1 and 9, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment web --min=1 --max=9
Remove from node 'node-1' all the taints with key 'workload',kubectl taint nodes node-1 workload-
Rename the context 'staging-context' to 'app-1-context' in your kubeconfig file,kubectl config rename-context staging-context app-1-context
Return snapshot of previous terminated time-machine container logs from pod email-service-pod,kubectl logs -p -c time-machine email-service-pod
List a single pod in JSON output format,kubectl get -o json pod security-service-pod
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 9090 and 6000 in the pod",kubectl port-forward pod/frontend-pod 5432 9090
Create a copy of e-commerce-pod adding a debug container and changing container images,"kubectl debug e-commerce-pod -it --copy-to=debug-image-memcached --image=debian --set-image=proxy=nginx:1.21,proxy=nginx:1.21"
Create a deployment named registry that runs the ubuntu image with 6 replicas,kubectl create deployment registry --image=ubuntu --replicas=6
Set the cluster field in the my-context context to prod-cluster,kubectl config set contexts.user-a-context.cluster prod-cluster
Get output from quantum-quark from pod api-service-pod,kubectl attach api-service-pod -c quantum-quark
Add a taint with key 'zone' on nodes having label release=beta,kubectl taint node -l release=beta  zone=dev-node-4:PreferNoSchedule
Add a taint with key 'hardware' on nodes having label release=beta,kubectl taint node -l release=beta  hardware=node-1:PreferNoSchedule
"Listen on port 8080 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/email-service 8080:https
Start a ethereum/client-go pod and let the container expose port 8888,kubectl run hazelcast --image=ethereum/client-go --port=8888
Display only the most recent 5 lines of output in pod email-service-pod,kubectl logs --tail=5 email-service-pod
Create a copy of chat-app-pod changing all container images to centos,kubectl debug chat-app-pod --copy-to=debug-image-app --set-image=*=centos
Add a taint with key 'disktype' on nodes having label service=auth,kubectl taint node -l service=auth  disktype=storage-node-13:PreferNoSchedule
Import specific keys from a config map,kubectl set env --keys=DEBUG_MODE --from=configmap/env-vars deployment/order-processing-deployment
"Start a alpine pod, but overload the spec with a partial set of values parsed from JSON","kubectl run nginx --image=alpine --overrides='{ ""apiVersion"": ""v2.1.0"", ""spec"": { ... } }'"
Add a taint with key 'special' on nodes having label owner=john-doe,kubectl taint node -l owner=john-doe  special=gpu-node-12:PreferNoSchedule
"Listen on port 9090 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 9090:5432
Get output from running the 'gem --version' command in cosmic-container from pod frontend-pod,kubectl exec frontend-pod -c cosmic-container -- gem --version
"List deployments in YAML output format, in the ""hotfix-1.1.2"" version of the ""web-apps"" API group",kubectl get deployments.hotfix-1.1.2.web-apps -o yaml
Import specific keys from a config map,kubectl set env --keys=external_api_url --from=configmap/kube-system-config deployment/notification-handler-deployment
Start a python pod and let the container expose port 9092,kubectl run hazelcast --image=python --port=9092
Add a taint with key 'zone' on nodes having label version=v1.0.0,kubectl taint node -l version=v1.0.0  zone=backup-node-14:PreferNoSchedule
"Listen on port 8000 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/scheduler-service 8000:https
Update image of all containers of daemonset nginx to 'wordpress:5.8.1',kubectl set image daemonset nginx *=wordpress:5.8.1
Add to node 'gpu-node-12' a taint with key 'app' and no value,kubectl taint nodes gpu-node-12 app:NoSchedule
"Listen on ports 8080 and 6000 locally, forwarding data to/from ports 8000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/authentication-service-deployment 8080 8000
"Create a service for an centos deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment centos --port=9090 --target-port=808400
Embed certificate authority data for the cluster-beta cluster entry,kubectl config set-cluster cluster-beta --embed-certs --certificate-authority=~/.kube/star-cluster/kubernetes.ca.crt
Describe a node,kubectl describe nodes cloud-node-4.cloud-provider.io
Create a job with a command,kubectl create job data-migration-job --image=mysql -- mysql
"Auto scale a deployment ""web"", with the number of pods between 2 and 12, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment web --min=2 --max=12
"Update pod 'log-aggregator' with the label 'status' and the value 'unhealthy', overwriting any existing value",kubectl label --overwrite pods log-aggregator status=unhealthy
"Delete pods and services with same names ""monitoring"" and ""media-stream""","kubectl delete pod,service monitoring media-stream"
"Get output from running 'go run hello.go' command from the first pod of the service user-service, using the first container by default",kubectl exec svc/user-service -- go run hello.go
Copy /tmp/foo from a remote pod to /tmp/bar locally,kubectl cp kube-dns/api-server-pod-3:/tmp/foo /tmp/bar
Remove from node 'dev-node-4' the taint with key 'dedicated' and effect 'NoSchedule' if one exists,kubectl taint nodes dev-node-4 dedicated:NoSchedule-
Set custom TLS server name to use for validation for the edge-cluster cluster entry,kubectl config set-cluster edge-cluster --tls-server-name=edge-cluster
"Listen on port 3000 locally, forwarding to 5000 in the pod",kubectl port-forward pod/security-service-pod 3000:5000
"Listen on port 8000 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/database-service 8000:https
Import specific keys from a config map,kubectl set env --keys=LOG_LEVEL --from=configmap/app-name-config deployment/order-processing-deployment
"Listen on port 5000 locally, forwarding to 3000 in the pod",kubectl port-forward pod/mypod 5000:3000
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 6379 and 6000 in the pod",kubectl port-forward pod/proxy-server-pod 5432 6379
